Opportunity_ID;Customer Name;Customer_Segment;Sector;Country;Customer_Status;Annual_Speed;Length_Of_Sales_Cycle;Product_Name;Highest_Contract_Level;Compelling_Event;RFP;Sales_Engineer_Engaged;Services_Included;Customer_Meeting;License;Contacts;Opportunity_Value
NEL73658ATES;Nelson Tax & Associates;Enterprise;Retail;India;prospect;Medium;2 Years;Analytics;Individual Contributor Level;Yes;Yes;Yes;No;5;299;68;58000
EMM38119BULL;Emma Bull;Fortune500;Finserv;Russia;current customer;Huge;1 Year;Database;C-Level;Yes;Yes;No;Yes;29;299;114;201000
JOH79425VANS;John Evans;Enterprise;Manufacturing;North America;prior customer;Huge;6 Months;Portal;Manager Level;No;Yes;Yes;No;26;74;19;52000
ROG25970ZAHN;Roger Zahn;SMB;High tech;China;prospect;Huge;1 Month;CRM;Manager Level;Yes;Yes;No;Yes;6;78;148;46000
CHE43888ATES;Chelsa Quinn Yates;Enterprise;Finserv;China;prior customer;Small;18 Months;Web Server;Individual Contributor Level;No;No;Yes;Yes;21;164;7;66000
ROB47545NSEN;Robert Jensen;SMB;Goods;India;prospect;Huge;2 Years;Web Server;Individual Contributor Level;Yes;No;Yes;Yes;31;22;149;15000
CHA26413COTT;Charles Scott;SMB;Apparel;France;prior customer;Big;6 Months;Portal;Individual Contributor Level;Yes;Yes;No;Yes;27;39;99;19000
JOE29044SSON;Joe Masson;Enterprise;Finserv;Germany;prior customer;Small;1 Month;Security;Manager Level;Yes;Yes;Yes;Yes;8;174;120;73000
TRA75388LINS;Tracy Collins;Enterprise;Finserv;Germany;prospect;Small;6 Months;Web Server;Individual Contributor Level;Yes;Yes;Yes;No;23;146;146;23000
ALE34553YNCH;Alex Lynch;Enterprise;Retail;Italy;prior customer;Small;6 Months;Database;Individual Contributor Level;No;No;No;No;21;77;70;73000
AGN15212ARDA;Agnes Varda;Enterprise;Retail;Germany;current customer;Small;6 Months;Database;C-Level;No;Yes;Yes;Yes;25;109;142;76000
ALB29885OOKS;Albert Brooks;Fortune500;High tech;North America;current customer;Big;1 Year;Security;C-Level;Yes;Yes;No;No;39;153;41;131000
EDW50612URNS;Edward Burns;Enterprise;Consumer Product;Russia;current customer;Small;2 Years;CRM;Individual Contributor Level;No;No;No;Yes;9;121;106;39000
PET83927KING;Peter King;Fortune500;Goods;China;current customer;Large;1 Year;CRM;C-Level;Yes;Yes;No;Yes;36;422;120;182000
DOU94980RKER;Douglas Barker;SMB;Goods;Germany;current customer;Large;6 Months;Identity Server;Manager Level;Yes;No;Yes;No;15;74;44;46000
JAN94746DAMS;Janett Adams;SMB;High tech;North America;prospect;Medium;1 Month;Analytics;Individual Contributor Level;Yes;No;Yes;No;11;69;39;14000
DAV69992YNCH;David Lynch;SMB;Retail;UK;prior customer;Large;1 Month;Database;Manager Level;Yes;Yes;Yes;No;7;42;70;14000
RON34223 BEY;Ronald Bey;Fortune500;Goods;France;current customer;Small;1 Year;Web Server;C-Level;No;No;Yes;Yes;28;543;53;154000
BEC80084RLIN;Becker Berlin;SMB;Manufacturing;France;prospect;Medium;18 Months;Web Server;Individual Contributor Level;No;Yes;No;Yes;12;85;78;41000
LAM57301GMBH;Lampen-Markt GmbH;Enterprise;Consumer Product;India;prior customer;Small;18 Months;ERP;C-Level;No;Yes;Yes;Yes;22;173;155;56000
AUT97249GMBH;Autohaus Franzl GmbH;Fortune500;Manufacturing;Brazil;current customer;Small;1 Year;Portal;C-Level;Yes;Yes;Yes;No;42;217;31;161000
INS73559HUNG;Institut fuer Umweltforschung;Enterprise;Goods;Russia;prior customer;Big;6 Months;Web Server;C-Level;Yes;No;No;Yes;26;177;34;46000
KAR94084ARKT;Karsson High Tech Markt;Enterprise;Goods;Germany;current customer;Medium;6 Months;Application Server;Manager Level;Yes;No;Yes;Yes;20;124;40;58000
ERL87007BURG;ERL Freiburg;Enterprise;Manufacturing;Japan;prior customer;Small;6 Months;Analytics;Manager Level;Yes;Yes;Yes;Yes;16;262;35;72000
PHU34590X KG;Phundix KG;SMB;Consumer Product;Italy;current customer;Small;6 Months;ERP;Manager Level;No;No;Yes;Yes;22;120;126;17000
HIT60982H AG;Hitech AG;Enterprise;Goods;UK;prior customer;Small;1 Year;Portal;Individual Contributor Level;No;Yes;Yes;No;14;280;57;70000
CBD49438SIGN;CBD Computer Based Design;SMB;Construction;China;prospect;Large;6 Months;Identity Server;Individual Contributor Level;No;Yes;Yes;No;31;58;54;14000
MOT24364GMBH;Motomarkt Stuttgart GmbH;SMB;Consumer Product;UK;prior customer;Large;6 Months;Web Server;Manager Level;No;No;Yes;No;26;83;7;33000
ELE41085AMBY;Elektromarkt Bamby;Enterprise;Apparel;UK;prior customer;Medium;1 Year;Web Server;Individual Contributor Level;No;No;No;No;27;190;11;73000
COM93893NTER;Computer Competence Center;SMB;Finserv;Brazil;prospect;Small;6 Months;Portal;Manager Level;No;No;Yes;Yes;5;95;71;40000
LCH15738ARKT;LCH Markt;SMB;High tech;North America;prior customer;Huge;2 Years;Database;Manager Level;No;No;Yes;No;24;105;107;69000
CHR41176LEAR;Christal Clear;Fortune500;Construction;North America;prior customer;Large;1 Year;Portal;Manager Level;No;No;Yes;No;22;203;151;75000
BEC78626OELN;Becker Koeln;Enterprise;Retail;UK;prior customer;Big;1 Month;Application Server;Manager Level;Yes;No;Yes;Yes;6;65;18;45000
BEC94919GART;Becker Stuttgart;SMB;Manufacturing;China;prospect;Huge;6 Months;Application Server;Manager Level;Yes;Yes;No;No;3;23;35;11000
NSM95395K AG;NSM Pumpentechnik AG;Fortune500;Consumer Product;India;current customer;Medium;1 Year;Analytics;C-Level;No;Yes;No;No;20;345;78;104000
AMA40852DEUS;Amadeus;Enterprise;Consumer Product;China;current customer;Medium;18 Months;Application Server;Individual Contributor Level;Yes;Yes;No;Yes;8;27;126;28000
